iter	RMSE
0	273.3263321
1	266.8980801
2	260.7301691
3	255.3691494
4	250.4589451
5	245.3898997
6	240.2864909
7	235.6736575
8	230.8022169
9	226.3971307
10	222.3174158
11	218.2764446
12	214.9049231
13	211.0411547
14	207.957355
15	204.4859232
16	201.2604095
17	198.234426
18	194.963888
19	191.7052244
20	189.0909313
21	186.4339974
22	183.9791613
23	181.4726648
24	179.4123748
25	177.5022172
26	175.5342147
27	173.459873
28	171.6631661
29	169.8023659
30	168.0868246
31	166.5604392
32	165.1258818
33	163.8562779
34	162.4765405
35	161.215033
36	159.8462823
37	158.4210523
38	156.9606466
39	155.828642
40	154.6037566
41	153.6854008
42	152.4151513
43	151.3603457
44	150.2868386
45	149.2097105
46	148.5494053
47	148.0077039
48	147.3349556
49	146.5647153
50	145.8672132
51	144.9943208
52	144.0763871
53	143.4871221
54	142.5022079
55	141.8971692
56	141.2281883
57	140.6517219
58	139.9726896
59	138.9771591
60	138.4031081
61	137.8436718
62	137.2623242
63	136.6817126
64	136.3772383
65	135.8485412
66	135.4760969
67	134.7629634
68	134.425291
69	133.8898509
70	133.3483564
71	133.0441329
72	132.4993642
73	131.9408593
74	131.4369128
75	130.9120848
76	130.3193955
77	129.9350823
78	129.571838
79	129.0993517
80	128.7095467
81	128.2138845
82	127.8957872
83	127.3340433
84	126.9595524
85	126.5691177
86	126.3566289
87	125.9516365
88	125.6250982
89	125.1344838
90	124.7303645
91	124.5058613
92	124.1707337
93	123.7415754
94	123.5874167
95	123.3779486
96	123.1283251
97	122.8182576
98	122.6284623
99	122.3865596
100	122.0737353
101	121.8706661
102	121.4500137
103	121.3196537
104	121.1247339
105	121.0034818
106	120.8841894
107	120.7084899
108	120.3872731
109	120.2420142
110	120.0512989
111	119.8379592
112	119.736022
113	119.3747642
114	119.0661427
115	118.9204129
116	118.7865762
117	118.4167893
118	118.2497576
119	117.9340581
120	117.6409541
121	117.3976737
122	117.2143763
123	117.1124229
124	116.8978081
125	116.7603825
126	116.5395962
127	116.3150672
128	116.231542
129	115.9109588
130	115.8447231
131	115.7756862
132	115.5054303
133	115.2705857
134	115.0572655
135	114.9238188
136	114.7095805
137	114.5027069
138	114.29971
139	114.1554748
140	113.9436478
141	113.7777675
142	113.6486171
143	113.5115832
144	113.3061365
145	113.1439197
146	112.8941171
147	112.7346939
148	112.5563586
149	112.3951886
150	112.2693481
151	112.0444879
152	111.8580386
153	111.7528386
154	111.5767777
155	111.5066427
156	111.302589
157	111.1404251
158	110.9619374
159	110.7486172
160	110.6026906
161	110.4033916
162	110.1938747
163	110.0512593
164	109.9290421
165	109.739111
166	109.4997418
167	109.3200267
168	109.1060788
169	108.923508
170	108.6101014
171	108.4742116
172	108.3454575
173	108.2298297
174	108.0867749
175	107.873846
176	107.7220686
177	107.5433936
178	107.3350598
179	107.073356
180	106.8199462
181	106.7139888
182	106.4685639
183	106.304673
184	106.0077617
185	105.7572544
186	105.5742288
187	105.5166574
188	105.2486214
189	105.0748692
190	104.8640406
191	104.653086
192	104.5283478
193	104.4030954
194	104.1670803
195	103.9289546
196	103.6938408
197	103.4329858
198	103.3517771
199	103.0269779
200	102.712059
201	102.5329516
202	102.3321456
203	102.2932228
204	102.1605902
205	102.137738
206	102.0645773
207	101.9425022
208	101.7768446
209	101.6911918
210	101.4104414
211	101.2054692
212	101.0725447
213	100.8695579
214	100.6682825
215	100.5557366
216	100.4442043
217	100.2946243
218	100.2547294
219	100.1742053
220	100.1183424
221	99.85824657
222	99.76127207
223	99.56757912
224	99.42255118
225	99.2617431
226	99.08564496
227	98.94055219
228	98.7366285
229	98.66098227
230	98.56266384
231	98.35322438
232	98.3060281
233	98.16379088
234	97.9977296
235	97.88144324
236	97.81963666
237	97.51600154
238	97.32833817
239	97.18918413
240	97.09646826
241	96.82802062
242	96.77263787
243	96.61386337
244	96.46150508
245	96.27274889
246	96.07880885
247	95.97585367
248	95.73829713
249	95.6056765
250	95.43428607
251	95.23488047
252	95.17940047
253	95.01214439
254	94.79065937
255	94.68996985
256	94.46655083
257	94.34267191
258	94.28428481
259	94.10837625
260	93.97918536
261	93.81876199
262	93.61248161
263	93.44897111
264	93.27560129
265	93.23302727
266	93.11381876
267	93.06822841
268	93.01685274
269	92.98310433
270	92.81189858
271	92.76329996
272	92.73038473
273	92.5882525
274	92.54628468
275	92.27119998
276	92.19132674
277	92.14803387
278	92.05514342
279	91.98040431
280	91.92540981
281	91.89533741
282	91.76912008
283	91.64237862
284	91.60219902
285	91.5657423
286	91.31107602
287	91.28273986
288	91.04185932
289	90.90151663
290	90.69331739
291	90.54182642
292	90.51250719
293	90.45882231
294	90.37779932
295	90.23683553
296	90.10936197
297	90.02903199
298	89.91897619
299	89.74229633
300	89.54638816
301	89.40894006
302	89.36773616
303	89.33257079
304	89.1783393
305	89.08891161
306	88.96895598
307	88.85397756
308	88.75760256
309	88.67285418
310	88.63637493
311	88.48966978
312	88.45266192
313	88.2946705
314	88.10506835
315	87.90494232
316	87.74056087
317	87.63851172
318	87.4872219
319	87.38041834
320	87.35820283
321	87.3309865
322	87.24399723
323	87.22537427
324	87.19419165
325	87.10686568
326	86.95402613
327	86.79915323
328	86.67314764
329	86.62016159
330	86.46696374
331	86.45014194
332	86.32885028
333	86.20719292
334	86.05534496
335	85.98153821
336	85.83070233
337	85.67736218
338	85.49950846
339	85.36410507
340	85.19598034
341	85.17867493
342	84.99143893
343	84.82738757
344	84.71637884
345	84.60423855
346	84.47152051
347	84.43466094
348	84.33932639
349	84.2648807
350	84.23041811
351	84.10973691
352	83.97904095
353	83.80002609
354	83.71919976
355	83.5425754
356	83.38919625
357	83.25532991
358	83.16008762
359	83.09399025
360	82.96142799
361	82.82571515
362	82.68174601
363	82.60324108
364	82.46272847
365	82.38640674
366	82.29283548
367	82.27747034
368	82.25913044
369	82.24340927
370	82.18600927
371	82.1728316
372	81.98803395
373	81.82569934
374	81.81501323
375	81.8008563
376	81.69671653
377	81.52372592
378	81.4042012
379	81.23330195
380	81.06431765
381	80.96214432
382	80.92868798
383	80.7766589
384	80.64337564
385	80.53488342
386	80.44843086
387	80.27387798
388	80.25761508
389	80.15939925
390	80.08555804
391	79.94446447
392	79.89382465
393	79.83338001
394	79.75825714
395	79.66820298
396	79.52552978
397	79.37476567
398	79.34811972
399	79.13298532
400	79.01422352
401	78.90515533
402	78.83558065
403	78.80402923
404	78.73435246
405	78.63021249
406	78.47754318
407	78.40659961
408	78.35949778
409	78.20818359
410	78.12330064
411	78.0516175
412	77.94232113
413	77.84883397
414	77.74268954
415	77.72050983
416	77.64292076
417	77.53481702
418	77.3987719
419	77.38352736
420	77.24006575
421	77.22844231
422	77.16218443
423	77.12895163
